open,high,low,close,volume,value
94171000.0,94180000.0,93965000.0,94010000.0,52.7625907,4963394314.75179
94010000.0,94300000.0,93920000.0,94137000.0,84.69788869,7971209348.81097
94137000.0,94516000.0,94055000.0,94398000.0,76.88560583,7257608179.42061
94398000.0,94989000.0,94398000.0,94839000.0,128.31180353,12156498956.90039
94838000.0,95200000.0,94674000.0,95102000.0,142.58269888,13543931751.1844
95101000.0,95102000.0,94735000.0,94959000.0,76.63204878,7272249779.73526
94958000.0,94986000.0,94542000.0,94637000.0,62.63467659,5933331294.16078
94596000.0,94757000.0,94510000.0,94604000.0,37.02166355,3502916433.39825
94604000.0,94774000.0,94546000.0,94637000.0,21.27267376,2013539111.08573
94673000.0,94995000.0,94637000.0,94987000.0,22.77163672,2159937127.38599
94992000.0,95279000.0,94938000.0,95200000.0,48.0535533,4571773066.29482
95157000.0,95277000.0,95000000.0,95103000.0,21.40240491,2036287008.53951
95154000.0,95157000.0,94860000.0,94974000.0,31.5893327,3000425005.69899
94996000.0,95100000.0,94666000.0,95077000.0,40.37868528,3832856405.18067
95077000.0,95279000.0,94945000.0,95050000.0,70.67099946,6723566969.87503
95050000.0,95380000.0,94920000.0,95363000.0,87.86019059,8362633453.90972
95363000.0,96101000.0,95131000.0,95681000.0,335.19419082,32117712292.48902
95645000.0,95920000.0,95346000.0,95600000.0,145.20371639,13889754506.7502
95600000.0,96700000.0,95592000.0,96539000.0,346.26160466,33359520952.21153
96539000.0,96753000.0,96155000.0,96333000.0,224.93949281,21702904735.08412
96329000.0,96472000.0,96240000.0,96411000.0,111.16887345,10713120969.76508
96411000.0,96849000.0,96411000.0,96767000.0,160.68488527,15537680461.82613
96726000.0,96848000.0,96519000.0,96585000.0,146.66077294,14183717962.39572
96580000.0,96603000.0,96407000.0,96560000.0,90.26763579,8711900446.61972
96543000.0,96732000.0,96409000.0,96438000.0,70.90175172,6845134363.31902
96437000.0,96620000.0,96384000.0,96492000.0,80.84438308,7802601882.47677
96492000.0,96784000.0,96443000.0,96662000.0,94.55472217,9137155180.98206
96663000.0,96900000.0,96624000.0,96706000.0,159.63593138,15453339824.32222
96706000.0,96961000.0,96447000.0,96835000.0,168.60337165,16309207683.46338
96835000.0,97100000.0,96300000.0,96442000.0,381.17452261,36896172097.79206
96443000.0,96510000.0,95118000.0,95241000.0,480.8777257,46066539099.52944
95241000.0,95409000.0,94596000.0,95204000.0,361.58092936,34341773065.66574
95204000.0,95220000.0,93600000.0,93816000.0,462.70961586,43556242655.9186
93769000.0,94040000.0,93203000.0,93879000.0,282.00255228,26407427910.62299
93881000.0,94535000.0,93771000.0,94384000.0,93.37183107,8800881968.69692
94369000.0,94559000.0,94120000.0,94228000.0,72.3337188,6827542330.68923
94162000.0,94319000.0,93855000.0,94265000.0,95.98970246,9031656875.4402
94280000.0,94600000.0,93910000.0,94540000.0,88.00137054,8289187679.41686
94540000.0,94672000.0,94010000.0,94100000.0,107.27121557,10123780597.31652
94100000.0,94156000.0,93343000.0,93618000.0,218.47376478,20474753043.72364
93605000.0,93618000.0,92499000.0,93485000.0,474.2747021,44158081317.57964
93485000.0,93878000.0,92700000.0,92885000.0,275.49825097,25736986821.7404
92885000.0,93215000.0,92560000.0,93008000.0,156.72826066,14557937582.01251
93000000.0,93396000.0,92986000.0,93112000.0,66.27563569,6175650633.26802
93113000.0,93404000.0,93068000.0,93391000.0,77.29440672,7207553940.73357
93391000.0,93466000.0,92866000.0,93050000.0,99.60403601,9279037666.64338
93055000.0,93450000.0,93050000.0,93447000.0,46.62786894,4348583981.49484
93447000.0,93837000.0,93447000.0,93738000.0,116.33483632,10899722039.44524
93738000.0,93859000.0,93467000.0,93549000.0,89.79450081,8410544634.06798
93549000.0,93710000.0,93051000.0,93268000.0,69.31247992,6473632767.06158
93267000.0,93337000.0,93003000.0,93045000.0,100.87682945,9396587420.38596
93045000.0,93209000.0,92950000.0,93019000.0,81.20956949,7558124458.81647
93015000.0,93400000.0,92608000.0,93205000.0,146.16782532,13588063615.69545
93205000.0,93500000.0,92821000.0,92885000.0,99.33160336,9248854404.36178
92885000.0,93000000.0,92149000.0,92149000.0,235.9922232,21854187639.19068
92172000.0,92834000.0,92015000.0,92767000.0,157.29350125,14524447820.80206
92750000.0,92992000.0,92586000.0,92589000.0,48.98212008,4543143219.50382
92589000.0,92590000.0,92100000.0,92137000.0,75.17508122,6940205970.27063
92223000.0,92600000.0,92024000.0,92196000.0,66.86159813,6165158167.82919
92121000.0,92535000.0,92005000.0,92347000.0,45.48371544,4195725641.32517
92465000.0,92991000.0,91825000.0,92881000.0,165.07768108,15237448091.66981
92917000.0,93029000.0,92570000.0,93000000.0,41.78752657,3879394342.81568
93000000.0,93073000.0,92700000.0,92870000.0,43.68374886,4059284444.12028
92874000.0,92950000.0,92780000.0,92788000.0,45.95083162,4267010103.32281
92790000.0,93159000.0,92400000.0,93099000.0,149.85417092,13902808066.04141
93099000.0,93170000.0,92500000.0,92762000.0,106.08492433,9847992969.77637
92761000.0,92918000.0,92420000.0,92561000.0,96.3437776,8923269071.30329
92561000.0,92590000.0,92400000.0,92407000.0,61.2495939,5664054822.82959
92407000.0,92477000.0,91682000.0,92000000.0,241.59616802,22223188056.34894
91997000.0,92500000.0,91750000.0,92430000.0,105.18136724,9682099848.85003
92453000.0,92941000.0,92430000.0,92790000.0,131.95423588,12235001863.67253
92797000.0,92922000.0,92433000.0,92434000.0,70.04295429,6491903555.59073
92434000.0,92752000.0,92210000.0,92615000.0,64.33538163,5950482550.62928
92627000.0,92700000.0,92340000.0,92513000.0,48.58488889,4496280810.17416
92513000.0,92566000.0,92105000.0,92165000.0,77.49012082,7148359721.09244
92156000.0,92356000.0,92101000.0,92221000.0,58.79752232,5421055756.00947
92221000.0,92520000.0,92180000.0,92434000.0,62.69348691,5789156559.03807
92427000.0,93169000.0,92357000.0,92813000.0,147.19155422,13664574546.05677
92790000.0,93100000.0,92245000.0,92682000.0,126.49344386,11721586295.38407
92682000.0,92890000.0,92573000.0,92696000.0,47.42392915,4399688899.73333
92696000.0,93082000.0,92603000.0,92808000.0,63.89608972,5930743856.04606
92828000.0,93298000.0,92743000.0,93107000.0,69.43741463,6460224830.42196
93107000.0,93235000.0,92556000.0,92986000.0,66.92238285,6214859917.94826
92986000.0,93101000.0,91250000.0,91539000.0,278.5089379,25591579351.00587
91502000.0,91829000.0,90560000.0,90581000.0,364.63076164,33181212682.70744
90581000.0,91605000.0,90510000.0,91268000.0,286.84388074,26114758618.99395
91268000.0,91478000.0,90701000.0,91200000.0,157.64255776,14348829000.833
91204000.0,91221000.0,90345000.0,90345000.0,215.8288974,19574139326.86608
90346000.0,90745000.0,90208000.0,90552000.0,286.59057024,25928728857.17569
90552000.0,90790000.0,89860000.0,89918000.0,375.05906405,33804250609.02823
89918000.0,89960000.0,89562000.0,89897000.0,319.33302249,28658177415.20895
89890000.0,89897000.0,89350000.0,89500000.0,258.96672378,23205882360.26432
89500000.0,89728000.0,88960000.0,89166000.0,381.94853062,34081284295.26739
89161000.0,90289000.0,88972000.0,90232000.0,306.56547522,27479270557.29905
90232000.0,90455000.0,89800000.0,90244000.0,152.93125672,13783640796.50976
90244000.0,90648000.0,90189000.0,90459000.0,116.89041858,10576356040.0833
90459000.0,90722000.0,90407000.0,90660000.0,82.62138804,7485351047.84786
90698000.0,90884000.0,90490000.0,90510000.0,99.6979369,9048697350.51456
90510000.0,90700000.0,90290000.0,90659000.0,70.12404719,6342388228.12295
90670000.0,90841000.0,90500000.0,90830000.0,70.4594805,6388557412.80027
90830000.0,91250000.0,90829000.0,91225000.0,131.39549205,11966126104.42881
91225000.0,91301000.0,90512000.0,91049000.0,118.76498621,10799274659.85902
90956000.0,91048000.0,89782000.0,89800000.0,210.68743589,19009689856.16402
89800000.0,89800000.0,88500000.0,88590000.0,632.78597378,56291582661.81335
